Highest Layer,Transport Layer,Source IP,Dest IP,Source Port,Dest Port,Packet Length,Packets/Time,target
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,49.069314189500986,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,49.810360782379554,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,50.55037714882865,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,51.28913216994199,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,52.028433439247166,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,52.76331358866904,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,53.45828848566885,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,54.191944594515526,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,54.92474276469213,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,55.65632579281589,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,56.38675428488715,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,57.11606036761442,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,57.844373412750876,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,104,58.52746806040555,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,59.25297254296446,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,59.97743062016662,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,60.7010686391933,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,61.4232570638399,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,62.09838028840934,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,62.817411341228805,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,63.536200482005114,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,64.2535348226306,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,64.97010323500291,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,65.68541522503952,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,66.39974524935539,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,67.06293198821825,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,67.77436254965613,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,68.4851786761036,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,69.19473079563623,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,69.90320511392179,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,70.55844035331472,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,71.26429408570704,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,71.96921964310421,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,72.6748621146855,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,73.32405919884252,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,74.02267889111255,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,74.72320374879206,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,75.42229558110249,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,76.12068485933588,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,76.76143022547085,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,77.40284754868077,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,78.03761125353552,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,78.73032353838703,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,79.42203703356351,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,80.11255408782577,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,80.80242022946516,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,81.4907745630945,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,82.1786028726406,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,82.80733173126092,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,83.4925913445064,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,84.17408946860301,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,84.85997475590035,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,85.47709868539155,1
DATA,TCP,1,2409:4056:81:9680:59f5:7b09:622d:5cf5,443,53900,1392,86.1581750603457,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,86.77429951830915,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,87.45339282915495,1
DATA,TCP,1,2405:200:161b:743::13,53900,443,91,88.13087780881517,1
